Code,Area,Year,Sex,Pupils,Attainment8,Progress8
E09000028,Southwark,2015/16,Boys,1141,51.3,0.15
E09000029,Sutton,2015/16,Boys,1370,57.1,0
E09000030,Tower Hamlets,2015/16,Boys,1294,48.7,0.04
E09000031,Waltham Forest,2015/16,Boys,1259,48,0.06
E09000032,Wandsworth,2015/16,Boys,872,50.7,0.05
E09000033,Westminster,2015/16,Boys,763,51,0.09
E13000001,Inner London,2015/16,Boys,12529,48.9,0.03
E13000002,Outer London,2015/16,Boys,25905,50.1,0.02
E12000001,North East,2015/16,Boys,13281,46.8,-0.26
E12000002,North West,2015/16,Boys,37571,47.1,-0.29
E12000003,Yorkshire and the Humber,2015/16,Boys,27760,46.7,-0.17
E12000004,East Midlands,2015/16,Boys,24169,46.5,-0.29
E12000005,West Midlands,2015/16,Boys,30996,46.9,-0.22
E12000006,East,2015/16,Boys,31170,48.2,-0.1
E12000007,London,2015/16,Boys,38434,49.7,0.02
E12000008,South East,2015/16,Boys,43784,48.7,-0.12
E12000009,South West,2015/16,Boys,26725,48.3,-0.18
E92000001,England,2015/16,Boys,273890,47.8,-0.17
E09000001,City of London,2015/16,Girls,.,.,.
E09000002,Barking and Dagenham,2015/16,Girls,1091,51.8,0.32
E09000003,Barnet,2015/16,Girls,1791,57.5,0.44
E09000004,Bexley,2015/16,Girls,1551,54.6,0.08
E09000005,Brent,2015/16,Girls,1520,53.7,0.46
E09000006,Bromley,2015/16,Girls,1718,54.9,0.15
E09000007,Camden,2015/16,Girls,817,54.1,0.23
E09000008,Croydon,2015/16,Girls,1959,51.9,0.22
E09000009,Ealing,2015/16,Girls,1354,53.5,0.44
E09000010,Enfield,2015/16,Girls,1771,52.7,0.23
E09000011,Greenwich,2015/16,Girls,1111,51.5,0.08
E09000012,Hackney,2015/16,Girls,1122,54.9,0.45
E09000013,Hammersmith and Fulham,2015/16,Girls,701,56.7,0.26
E09000014,Haringey,2015/16,Girls,1119,52.6,0.37
E09000015,Harrow,2015/16,Girls,1064,55.6,0.52
E09000016,Havering,2015/16,Girls,1436,51.8,0
E09000017,Hillingdon,2015/16,Girls,1499,53.2,0.19
E09000018,Hounslow,2015/16,Girls,1313,53.6,0.43
E09000019,Islington,2015/16,Girls,636,51.7,0.28
E09000020,Kensington and Chelsea,2015/16,Girls,310,57.1,0.41
E09000021,Kingston upon Thames,2015/16,Girls,812,59.7,0.41
E09000022,Lambeth,2015/16,Girls,917,52.3,0.22
E09000023,Lewisham,2015/16,Girls,1098,51.2,0.1
E09000024,Merton,2015/16,Girls,709,54.6,0.45
E09000025,Newham,2015/16,Girls,1709,53.1,0.37
E09000026,Redbridge,2015/16,Girls,1616,56.5,0.47
E09000027,Richmond upon Thames,2015/16,Girls,729,56.8,0.24
E09000028,Southwark,2015/16,Girls,1245,54.5,0.3
E09000029,Sutton,2015/16,Girls,1297,60.3,0.34
E09000030,Tower Hamlets,2015/16,Girls,1276,51.7,0.26
E09000031,Waltham Forest,2015/16,Girls,1280,52.8,0.39
E09000032,Wandsworth,2015/16,Girls,788,53.6,0.25
E09000033,Westminster,2015/16,Girls,803,57.8,0.53
E13000001,Inner London,2015/16,Girls,12541,53.6,0.31
E13000002,Outer London,2015/16,Girls,25621,54.4,0.3
E12000001,North East,2015/16,Girls,12795,50.8,-0.05
E12000002,North West,2015/16,Girls,36486,51.8,0
E12000003,Yorkshire and the Humber,2015/16,Girls,26802,51.2,0.11
E12000004,East Midlands,2015/16,Girls,23035,51.3,0.01
E12000005,West Midlands,2015/16,Girls,29219,51.6,0.08
E12000006,East,2015/16,Girls,29889,52.6,0.16
E12000007,London,2015/16,Girls,38162,54.1,0.3
E12000008,South East,2015/16,Girls,41834,53.4,0.16
E12000009,South West,2015/16,Girls,25696,52.3,0.08
E92000001,England,2015/16,Girls,263918,52.4,0.11
